Category,Sub-Criteria,Weight,Priority,StarRocks Score (1-5),ClickHouse Score (1-5),StarRocks Weighted,ClickHouse Weighted,Notes
,,,,,,,,
=== MUTABLE DATA & MULTI-TABLE JOINS ===,,3x,Must Have,,,,,"Support for UPDATE/DELETE with 4-6 table joins"
Mutable Data,UPDATE/DELETE Performance,30%,Must Have,5,2,1.5,0.6,"SR: Native Primary Key tables; CH: Async mutations via merge"
Mutable Data,Mutation Consistency,20%,Must Have,5,2,1.0,0.4,"SR: Immediate visibility; CH: Eventual (requires FINAL)"
Mutable Data,Join Optimizer Quality,25%,Must Have,4,3,1.0,0.75,"SR: Cascades-style CBO; CH: Rule-based"
Mutable Data,Join Performance (4-6 tables),25%,Must Have,4,3,1.0,0.75,"SR: Multiple join strategies; CH: Prefers denormalization"
Mutable Data - Subtotal,,,Must Have,4.5,2.5,13.5,7.5,
,,,,,,,,
=== ICEBERG FEDERATION ===,,3x,Must Have,,,,,"Join native + Iceberg data"
Iceberg Federation,Catalog Support (Glue/Hive/REST),25%,Must Have,5,2,1.25,0.5,"SR: Native multi-catalog; CH: Table functions only"
Iceberg Federation,Query Performance,30%,Must Have,5,2,1.5,0.6,"SR: CBO uses Iceberg stats; CH: Limited optimization"
Iceberg Federation,Predicate Pushdown,20%,Must Have,5,3,1.0,0.6,"SR: Full pushdown; CH: Partial"
Iceberg Federation,Metadata Integration,15%,Must Have,5,2,0.75,0.3,"SR: Schema sync + time travel; CH: Manual refresh"
Iceberg Federation,Operational Simplicity,10%,Must Have,5,2,0.5,0.2,"SR: Catalog abstraction; CH: Per-table setup"
Iceberg Federation - Subtotal,,,Must Have,5.0,2.0,15.0,6.0,
,,,,,,,,
=== MATERIALIZED VIEWS ===,,3x,Must Have,,,,,"MV with automatic query rewrite"
Materialized Views,Automatic Query Rewrite,40%,Must Have,5,0,2.0,0.0,"SR: Transparent rewrite; CH: Not supported (critical gap)"
Materialized Views,Incremental Refresh,25%,Must Have,5,4,1.25,1.0,"SR: Partition-aware; CH: Insert-only refresh"
